따르다,abide
폐지,abolition
갑작스러운,abrupt
절대적인,absolute
흡수하다,absorb
추상적인,abstract
남용하다,abuse
가속하다,accelerate
접근,access
수용하다,accommodate
동반하다,accompany
성취,accomplishment
일치하다,accord
설명하다,account
축적하다,accumulate
정확한,accurate
비난하다,accuse
인식하다,acknowledge
얻다,acquire
적응하다,adapt
충분한,adequate
조정하다,adjust
관리하다,administer
인정하다,admit
채택하다,adopt
진보하다,advance
지지하다,advocate
영향을 주다,affect
합계,aggregate
돕다,aid
할당하다,allocate
변경하다,alter
대안,alternative
모호한,ambiguous
분석하다,analyze
예상하다,anticipate
명백한,apparent
호소하다,appeal
적용하다,apply
접근하다,approach
적절한,appropriate
대략적인,approximate
임의의,arbitrary
측면,aspect
지정하다,assign
지원하다,assist
가정하다,assume
확신시키다,assure
달성하다,attain
속성,attribute
승인하다,authorize
이익,benefit
능력,capacity
범주,category
상황,circumstance
붕괴하다,collapse
보상하다,compensate
복잡한,complex
구성요소,component
포괄적인,comprehensive
집중하다,concentrate
결론 짓다,conclude
수행하다,conduct
확인하다,confirm
갈등,conflict
고려하다,consider
일관된,consistent
지속적인,constant
건설하다,construct
소비하다,consume
기여하다,contribute
전환하다,convert
핵심,core
기준,criteria
중요한,crucial
감소하다,decline
정의하다,define
증명하다,demonstrate
도출하다,derive
~에도 불구하고,despite
차원,dimension
분배하다,distribute
국내의,domestic
제거하다,eliminate
출현하다,emerge
강조,emphasis
가능하게 하다,enable
맞닥뜨리다,encounter
향상시키다,enhance
보장하다,ensure
수립하다,establish
평가하다,evaluate
분명한,evident
확장하다,expand
이용하다,exploit
요인,factor
특징,feature
기본적인,fundamental
생성하다,generate
식별하다,identify
영향,impact
실행하다,implement
나타내다,indicate
해석하다,interpret
포함하다,involve
유지하다,maintain
다수의,majority
방법,method
수정하다,modify
얻다,obtain
발생하다,occur
참여하다,participate
인식하다,perceive
정책,policy
원리,principle
과정,process
요구하다,require
응답하다,respond
유의미한,significant
구체적인,specific
구조,structure
이론,theory
다양하다,vary
