일탈,aberration
준수하다,abide
폐지하다,abolish
갑작스러운,abrupt
절대적인,absolute
흡수하다,absorb
추상적인,abstract
풍부한,abundant
가속하다,accelerate
접근,access
수용하다,accommodate
동반하다,accompany
성취하다,accomplish
일치하다,accord
계좌,account
축적하다,accumulate
정확한,accurate
인정하다,acknowledge
취득하다,acquire
적응하다,adapt
충분한,adequate
인접한,adjacent
관리하다,administer
지지하다,advocate
합계,aggregate
배분하다,allocate
모호한,ambiguous
분석하다,analyze
예상하다,anticipate
명백한,apparent
호소하다,appeal
지원하다,apply
접근하다,approach
적절한,appropriate
임의의,arbitrary
측면,aspect
평가하다,assess
가정하다,assume
달성하다,attain
속성,attribute
유익한,beneficial
용량,capacity
상황,circumstance
붕괴하다,collapse
보상하다,compensate
복잡한,complex
구성요소,component
포괄적인,comprehensive
집중하다,concentrate
결론 짓다,conclude
수행하다,conduct
확인하다,confirm
갈등,conflict
일관된,consistent
지속적인,constant
건설하다,construct
소비하다,consume
기여하다,contribute
전환하다,convert
기준,criteria
중요한,crucial
감소하다,decline
정의하다,define
보여주다,demonstrate
도출하다,derive
~에도 불구하고,despite
차원,dimension
배포하다,distribute
국내의,domestic
제거하다,eliminate
출현하다,emerge
강조,emphasis
가능하게 하다,enable
맞닥뜨리다,encounter
향상시키다,enhance
보장하다,ensure
설립하다,establish
평가하다,evaluate
분명한,evident
확장하다,expand
활용하다,exploit
요인,factor
특징,feature
기본적인,fundamental
생성하다,generate
식별하다,identify
영향,impact
실행하다,implement
나타내다,indicate
해석하다,interpret
포함하다,involve
유지하다,maintain
다수,majority
방법,method
수정하다,modify
획득하다,obtain
발생하다,occur
참여하다,participate
인식하다,perceive
정책,policy
원칙,principle
과정,process
요구하다,require
응답하다,respond
중요한,significant
구체적인,specific
구조,structure
이론,theory
다양하다,vary
안건,agenda
승인하다,approve
배정하다,assign
예산,budget
취소하다,cancel
협력하다,collaborate
시작하다,commence
완료하다,complete
조율하다,coordinate
위임하다,delegate
납품하다,deliver
부서,department
마감일,deadline
결정,decision
효율성,efficiency
임원,executive
비용,expense
최종 결정하다,finalize
고용하다,hire
본사,headquarters
주도권,initiative
점검하다,inspect
재고,inventory
청구서,invoice
출시하다,launch
회의,meeting
협상하다,negotiate
목표,objective
운영하다,operate
조직하다,organize
외주하다,outsource
성과,performance
연기하다,postpone
우선순위를 정하다,prioritize
절차,procedure
생산성,productivity
승진시키다,promote
제안서,proposal
분기별,quarterly
추천하다,recommend
채용하다,recruit
개보수하다,renovate
보고하다,report
일정 변경하다,reschedule
사직하다,resign
검토하다,review
일정,schedule
전략,strategy
제출하다,submit
감독하다,supervise
업무,task
해지하다,terminate
업데이트하다,update
업무량,workload
회계사,accountant
회계,accounting
연간,annual
자산,asset
감사,audit
잔액,balance
청구,billing
보너스,bonus
자본,capital
현금,cash
청구하다,charge
보상,compensation
신용,credit
통화,currency
부채,debt
예금,deposit
할인,discount
배당금,dividend
수익,earnings
지출,expenditure
재무,finance
회계의,fiscal
자금,fund
수입,income
이자,interest
투자하다,invest
대출,loan
이익,profit
요금,rate
영수증,receipt
환불,refund
매출,revenue
급여,salary
저축,savings
주식,stock
세금,tax
거래,transaction
이체,transfer
임금,wages
출금,withdrawal
결근,absence
지원자,applicant
지원서,application
평가,appraisal
복리후생,benefit
후보자,candidate
경력,career
동료,colleague
계약,contract
직원,employee
고용주,employer
고용,employment
경험,experience
유연한,flexible
면접,interview
직업,job
해고,layoff
휴가,leave
출산휴가,maternity
멘토,mentor
초과근무,overtime
파트타임,parttime
연금,pension
인사,personnel
직위,position
승진,promotion
자격,qualification
채용,recruitment
추천서,reference
사직,resignation
은퇴하다,retire
감독자,supervisor
교육,training
공석,vacancy
인력,workforce
광고하다,advertise
광고,advertisement
브랜드,brand
캠페인,campaign
고객,client
경쟁사,competitor
소비자,consumer
수요,demand
유통,distribution
전시회,exhibition
피드백,feedback
전단지,flyer
충성도,loyalty
시장,market
상품,merchandise
기회,opportunity
주문,order
패키지,package
제안하다,pitch
제품,product
판촉,promotion
구매하다,purchase
할당량,quota
소매,retail
판매,sales
서비스,service
배송,shipment
공급,supply
설문조사,survey
목표,target
도매,wholesale
첨부파일,attachment
백업,backup
컴퓨터,computer
회의,conference
데이터베이스,database
기기,device
문서,document
이메일,email
장비,equipment
시설,facility
파일,file
하드웨어,hardware
설치하다,install
네트워크,network
비밀번호,password
프린터,printer
소프트웨어,software
스프레드시트,spreadsheet
저장소,storage
시스템,system
기술적인,technical
통신,telecommunications
업그레이드,upgrade
무선,wireless
숙박,accommodation
항공사,airline
공항,airport
도착,arrival
수하물,baggage
탑승,boarding
예약,booking
취소,cancellation
화물,cargo
체크인,checkin
세관,customs
지연,delay
출발,departure
목적지,destination
항공편,flight
화물운송,freight
여행 일정,itinerary
짐,luggage
여권,passport
리셉션,reception
예약확인,reservation
경로,route
터미널,terminal
티켓,ticket
환승,transit
여행,travel
차량,vehicle
비자,visa
공지,announcement
브로슈어,brochure
공고,bulletin
명확히 하다,clarify
소통하다,communicate
불만,complaint
서신,correspondence
초안,draft
문의,inquiry
메모,memo
뉴스레터,newsletter
통지하다,notify
발표,presentation
보도자료,press
발표하다,publish
질문,query
견적,quote
~에 관해,regarding
답장,reply
요청,request
진술서,statement
요약하다,summarize
구두의,verbal
편의시설,amenity
이용 가능한,available
건설,construction
점검,inspection
임대,lease
유지보수,maintenance
점유,occupancy
주차,parking
허가,permit
부동산,property
임대료,rent
수리,repair
주거의,residential
공과금,utilities
창고,warehouse
납부하다,pay
지불,payment
우편,mail
소포,parcel
배달,delivery
서명하다,sign
서류,paperwork
복사하다,copy
인쇄하다,print
스캔하다,scan
회람,circular
수령하다,receive
발송하다,dispatch
처리하다,process
해결하다,resolve
처리,handling
분류하다,sort
보관하다,store
프레젠테이션,presentation
회의실,boardroom
협약,agreement
조항,clause
갱신하다,renew
연장하다,extend
만료되다,expire
발효되다,enforce
서약,commitment
의무,obligation
위반,violation
분쟁,dispute
중재,arbitration
합의,settlement
보험,insurance
보장,coverage
청구,claim
손해,damage
배상,compensation
공급업체,supplier
협력업체,vendor
파트너십,partnership
합병,merger
인수,acquisition
분사,spinoff
자회사,subsidiary
