사과,apple
바나나,banana
고양이,cat
개,dog
학교,school
선생님,teacher
학생,student
책,book
펜,pen
물,water
음식,food
집,house
자동차,car
친구,friend
가족,family
사랑,love
행복한,happy
슬픈,sad
큰,big
작은,small
빠른,fast
느린,slow
더운,hot
차가운,cold
하루,day
밤,night
태양,sun
달,moon
별,star
비,rain
눈,snow
나무,tree
꽃,flower
강,river
바다,sea
산,mountain
도시,city
길,road
버스,bus
기차,train
비행기,airplane
시간,time
돈,money
일,work
놀다,play
공부하다,study
먹다,eat
마시다,drink
가다,go
오다,come
보다,see
듣다,hear
말하다,say
만들다,make
가지다,take
주다,give
달리다,run
걷다,walk
자다,sleep
읽다,read
쓰다,write
생각하다,think
알다,know
배우다,learn
토끼,rabbit
새,bird
물고기,fish
말,horse
소,cow
돼지,pig
닭,chicken
곰,bear
사자,lion
호랑이,tiger
원숭이,monkey
코끼리,elephant
뱀,snake
거북이,turtle
개미,ant
벌,bee
나비,butterfly
거미,spider
상어,shark
고래,whale
돌고래,dolphin
게,crab
앵무새,parrot
독수리,eagle
올빼미,owl
펭귄,penguin
사슴,deer
여우,fox
늑대,wolf
얼룩말,zebra
기린,giraffe
캥거루,kangaroo
판다,panda
개구리,frog
파리,fly
쥐,mouse
고릴라,gorilla
악어,crocodile
하마,hippo
비둘기,pigeon
참새,sparrow
다람쥐,squirrel
염소,goat
양,sheep
낙타,camel
두더지,mole
박쥐,bat
갈매기,seagull
매,hawk
달팽이,snail
오렌지,orange
포도,grape
딸기,strawberry
수박,watermelon
당근,carrot
감자,potato
빵,bread
케이크,cake
우유,milk
주스,juice
커피,coffee
쌀,rice
고기,meat
달걀,egg
치즈,cheese
피자,pizza
햄버거,hamburger
국수,noodle
채소,vegetable
과일,fruit
수프,soup
샐러드,salad
샌드위치,sandwich
초콜릿,chocolate
사탕,candy
꿀,honey
버터,butter
잼,jam
소금,salt
후추,pepper
설탕,sugar
레몬,lemon
복숭아,peach
체리,cherry
키위,kiwi
토마토,tomato
양파,onion
마늘,garlic
오이,cucumber
상추,lettuce
옥수수,corn
버섯,mushroom
호박,pumpkin
땅콩,peanut
쿠키,cookie
파스타,pasta
빨간색,red
파란색,blue
노란색,yellow
초록색,green
흰색,white
검은색,black
보라색,purple
분홍색,pink
주황색,orange
갈색,brown
회색,gray
머리,head
코,nose
귀,ear
입,mouth
손,hand
발,foot
팔,arm
다리,leg
배,stomach
등,back
어깨,shoulder
손가락,finger
얼굴,face
목,neck
발가락,toe
무릎,knee
가슴,chest
뇌,brain
심장,heart
셔츠,shirt
바지,pants
치마,skirt
신발,shoes
모자,hat
양말,socks
코트,coat
재킷,jacket
드레스,dress
장갑,gloves
스카프,scarf
부츠,boots
교실,classroom
숙제,homework
시험,test
연필,pencil
지우개,eraser
공책,notebook
가방,bag
의자,chair
책상,desk
도서관,library
자,ruler
가위,scissors
종이,paper
달력,calendar
과학,science
역사,history
미술,art
체육,PE
마커,marker
수학,math
공원,park
병원,hospital
마트,market
은행,bank
식당,restaurant
카페,cafe
공항,airport
호텔,hotel
박물관,museum
동물원,zoo
놀이터,playground
역,station
극장,theater
체육관,gym
해변,beach
농장,farm
마을,village
정원,garden
교회,church
절,temple
성,castle
수영장,pool
아침,morning
오후,afternoon
저녁,evening
월요일,Monday
화요일,Tuesday
수요일,Wednesday
목요일,Thursday
금요일,Friday
토요일,Saturday
일요일,Sunday
봄,spring
여름,summer
가을,autumn
겨울,winter
오늘,today
어제,yesterday
내일,tomorrow
월,month
주,week
분,minute
초,second
자정,midnight
하늘,sky
구름,cloud
바람,wind
땅,ground
돌,stone
풀,grass
숲,forest
호수,lake
섬,island
폭포,waterfall
사막,desert
정글,jungle
계곡,valley
들판,field
좋은,good
나쁜,bad
예쁜,pretty
재미있는,interesting
쉬운,easy
어려운,difficult
새로운,new
깨끗한,clean
더러운,dirty
조용한,quiet
강한,strong
건강한,healthy
아픈,sick
배고픈,hungry
피곤한,tired
바쁜,busy
신나는,excited
화난,angry
무서운,scared
용감한,brave
똑똑한,smart
친절한,kind
웃긴,funny
심각한,serious
게으른,lazy
키가 큰,tall
둥근,round
부드러운,soft
딱딱한,hard
무거운,heavy
가벼운,light
긴,long
빈,empty
위험한,dangerous
안전한,safe
훌륭한,wonderful
중요한,important
특별한,special
유명한,famous
이상한,strange
완벽한,perfect
틀린,wrong
맞는,correct
지루한,boring
좋아하다,like
원하다,want
도와주다,help
시작하다,start
끝내다,finish
열다,open
닫다,close
앉다,sit
사다,buy
찾다,find
보내다,send
받다,receive
기다리다,wait
웃다,laugh
울다,cry
요리하다,cook
그리다,draw
노래하다,sing
춤추다,dance
수영하다,swim
여행하다,travel
쉬다,rest
이야기하다,talk
질문하다,ask
대답하다,answer
가르치다,teach
살다,live
자라다,grow
움직이다,move
밀다,push
당기다,pull
자르다,cut
씻다,wash
입다,wear
뛰다,jump
차다,kick
던지다,throw
잡다,catch
옮기다,carry
부수다,break
고치다,fix
만지다,touch
오르다,climb
나누다,share
만나다,meet
기억하다,remember
잊다,forget
노력하다,try
이기다,win
지다,lose
짓다,build
빌리다,borrow
들어가다,enter
돌다,turn
멈추다,stop
선택하다,choose
설명하다,explain
아버지,father
어머니,mother
형제,brother
자매,sister
할아버지,grandfather
할머니,grandmother
삼촌,uncle
고모,aunt
사촌,cousin
남편,husband
아내,wife
아들,son
딸,daughter
