능력,ability
받아들이다,accept
사고,accident
성취하다,achieve
조언,advice
영향을 주다,affect
동의하다,agree
허락하다,allow
거의,almost
~사이에,among
나타나다,appear
다투다,argue
도착하다,arrive
기사,article
청중,audience
피하다,avoid
균형,balance
행동,behavior
믿다,believe
이익,benefit
도전,challenge
변화,change
선택하다,choose
비교하다,compare
완성하다,complete
고려하다,consider
계속하다,continue
창조하다,create
결정하다,decide
발전시키다,develop
차이,difference
어려운,difficult
발견하다,discover
교육,education
효과,effect
노력,effort
환경,environment
경험,experience
설명하다,explain
유명한,famous
집중하다,focus
미래,future
목표,goal
성장,growth
일어나다,happen
건강,health
개선하다,improve
포함하다,include
증가하다,increase
관심,interest
지식,knowledge
언어,language
배우다,learn
관리하다,manage
의미,meaning
방법,method
현대의,modern
자연,nature
의견,opinion
기회,opportunity
가능한,possible
연습,practice
준비하다,prepare
문제,problem
과정,process
진보,progress
보호하다,protect
목적,purpose
이유,reason
결과,result
복습하다,review
과학,science
상황,situation
해결책,solution
성공,success
지지하다,support
체계,system
기술,technology
이해하다,understand
가치,value
다양한,various
관점,view
세계,world
분석하다,analyze
적용하다,apply
가정하다,assume
계산하다,calculate
분류하다,classify
결합하다,combine
소통하다,communicate
확인하다,confirm
공헌하다,contribute
통제하다,control
협력하다,cooperate
비판하다,criticize
정의하다,define
묘사하다,describe
설계하다,design
토의하다,discuss
검토하다,examine
예상하다,expect
표현하다,express
안내하다,guide
상상하다,imagine
영향을 미치다,influence
통보하다,inform
해석하다,interpret
조사하다,investigate
판단하다,judge
유지하다,maintain
측정하다,measure
관찰하다,observe
구성하다,organize
참여하다,participate
공연하다,perform
예방하다,prevent
해결하다,solve
제안하다,suggest
요약하다,summarize
변환하다,transform
평가하다,evaluate
반응하다,respond
예측하다,predict
의존하다,depend
주장하다,claim
논의하다,debate
추천하다,recommend
보고하다,report
연구하다,research
반영하다,reflect
인정하다,recognize
완수하다,accomplish
격려하다,encourage
향상시키다,enhance
보장하다,ensure
탐구하다,explore
형성하다,form
강조하다,emphasize
실행하다,implement
검사하다,inspect
제한하다,limit
성취,achievement
장점,advantage
야망,ambition
분석,analysis
불안,anxiety
논쟁,argument
태도,attitude
의식,awareness
용기,courage
창의성,creativity
문화,culture
갈등,conflict
기여,contribution
협력,cooperation
비판,criticism
다양성,diversity
감정,emotion
에너지,energy
평등,equality
표현,expression
우정,friendship
세대,generation
정체성,identity
상상력,imagination
독립,independence
개인,individual
산업,industry
정보,information
혁신,innovation
영감,inspiration
지성,intelligence
상호작용,interaction
한계,limitation
논리,logic
기억,memory
동기,motivation
필요,necessity
네트워크,network
관찰,observation
원칙,principle
생산성,productivity
전략,strategy
구조,structure
전통,tradition
이해,understanding
비전,vision
부,wealth
권력,power
정신,spirit
우선순위,priority
능동적인,active
모험적인,adventurous
야심찬,ambitious
매력적인,attractive
균형잡힌,balanced
영리한,clever
복잡한,complex
자신감 있는,confident
창의적인,creative
비판적인,critical
호기심 있는,curious
헌신적인,dedicated
의존적인,dependent
결단력 있는,determined
성실한,diligent
다채로운,diverse
효과적인,effective
효율적인,efficient
감정적인,emotional
열정적인,enthusiastic
환경적인,environmental
윤리적인,ethical
공정한,fair
유연한,flexible
관대한,generous
감사하는,grateful
정직한,honest
인상적인,impressive
독립적인,independent
혁신적인,innovative
지성적인,intelligent
논리적인,logical
자연스러운,natural
낙관적인,optimistic
인내심 있는,patient
열렬한,passionate
평화로운,peaceful
끈기있는,persistent
긍정적인,positive
실용적인,practical
생산적인,productive
합리적인,rational
책임감 있는,responsible
민감한,sensitive
사회적인,social
전략적인,strategic
체계적인,systematic
재능있는,talented
관용적인,tolerant
독특한,unique
사회,society
정치,politics
경제,economy
지리,geography
문학,literature
철학,philosophy
종교,religion
물리학,physics
화학,chemistry
생물학,biology
심리학,psychology
법률,law
의학,medicine
건축,architecture
영화,film
드라마,drama
미디어,media
광고,advertisement
사생활,privacy
권리,rights
책임,responsibility
시민,citizen
기후,climate
자원,resource
오염,pollution
지속가능성,sustainability
불평등,inequality
정의,justice
자원봉사,volunteer
리더십,leadership
팀워크,teamwork
글로벌화,globalization
이민,immigration
공동체,community
인구,population
복지,welfare
평화,peace
영향,impact
위기,crisis
변환,transformation
원자,atom
분자,molecule
세포,cell
유전자,gene
진화,evolution
생태계,ecosystem
중력,gravity
방사선,radiation
궤도,orbit
대기,atmosphere
광합성,photosynthesis
박테리아,bacteria
바이러스,virus
물질,matter
화석,fossil
광물,mineral
마찰,friction
전기,electricity
자기,magnetism
열,heat
파동,wave
입자,particle
빛,light
소리,sound
전류,current
저항,resistance
회로,circuit
연료,fuel
반응,reaction
실험,experiment
인상,impression
분위기,mood
기록,record
기준,standard
증거,evidence
가설,hypothesis
결론,conclusion
근거,basis
원인,cause
논평,commentary
평가,evaluation
계획,plan
연결,connection
관계,relationship
정확성,accuracy
명확성,clarity
맥락,context
신뢰,trust
공감,empathy
성찰,reflection
비교,comparison
계층,hierarchy
탁월성,excellence
겸손,humility
인내,patience
고통,suffering
회복,recovery
적응,adaptation
통합,integration
분리,separation
기원,origin
발전,development
혜택,benefit
조화,harmony
권위,authority
사례,case
패턴,pattern
규모,scale
범위,scope
역할,role
기능,function
특성,characteristic
현상,phenomenon
이론,theory
가치관,values
감각,sense
판단,judgment
표준,norm
상태,state
관습,custom
백신,vaccine
치료,treatment
예방,prevention
증상,symptom
진단,diagnosis
수술,surgery
약,medicine
알레르기,allergy
영양,nutrition
비타민,vitamin
운동,exercise
다이어트,diet
스트레스,stress
우울증,depression
공기,air
토양,soil
해양,ocean
재활용,recycling
폐기물,waste
탄소,carbon
재생가능한,renewable
보존,conservation
멸종,extinction
온실,greenhouse
홍수,flood
가뭄,drought
지진,earthquake
폭풍,storm
태풍,typhoon
생태,ecology
어휘,vocabulary
문법,grammar
발음,pronunciation
방언,dialect
번역,translation
통역,interpretation
관용어,idiom
속담,proverb
암기,memorization
이해력,comprehension
소설,novel
시,poem
조각,sculpture
공연,performance
전시,exhibition
수요,demand
공급,supply
가격,price
소비,consumption
생산,production
수출,export
수입,import
무역,trade
투자,investment
이윤,profit
손실,loss
계약,contract
브랜드,brand
마케팅,marketing
예산,budget
세금,tax
이자,interest
주식,stock
화폐,currency
경제학,economics
민주주의,democracy
공화국,republic
헌법,constitution
선거,election
투표,vote
정부,government
의회,parliament
정책,policy
자유,freedom
시위,protest
개혁,reform
혁명,revolution
독재,dictatorship
관료제,bureaucracy
외교,diplomacy
안보,security
동맹,alliance
조약,treaty
제재,sanction
주권,sovereignty
대학,university
연구,research
졸업,graduation
학위,degree
장학금,scholarship
강의,lecture
세미나,seminar
교수,professor
교과서,textbook
시험,exam
성적,grade
과목,subject
학습,learning
교육과정,curriculum
캠퍼스,campus
도서관,library
실험실,laboratory
강당,auditorium
논문,thesis
인용,citation
상징,symbol
은유,metaphor
비유,analogy
대화,dialogue
테마,theme
해결,resolution
문체,style
서술,narrative
현실,reality
디지털,digital
온라인,online
플랫폼,platform
알고리즘,algorithm
자동화,automation
로봇,robot
소프트웨어,software
데이터,data
프로그램,program
암호,password
보안,cybersecurity
해킹,hacking
앱,app
스마트폰,smartphone
충전,charge
업데이트,update
검색,search
다운로드,download
업로드,upload
접속,access
연결망,connection
즉시,instant
링크,link
