버리다,abandon
능력,ability
흡수하다,absorb
추상적인,abstract
남용하다,abuse
접근하다,access
동반하다,accompany
성취하다,accomplish
축적하다,accumulate
정확한,accurate
달성하다,achieve
인식하다,acknowledge
얻다,acquire
적응하다,adapt
충분한,adequate
조정하다,adjust
행정,administration
인정하다,admit
채택하다,adopt
진보하다,advance
이점,advantage
영향을 주다,affect
분석,analysis
접근,approach
적절한,appropriate
평가하다,assess
가정하다,assume
시도하다,attempt
권위,authority
이용 가능한,available
알고 있는,aware
이익,benefit
개념,concept
결론 짓다,conclude
수행하다,conduct
확인하다,confirm
여파,consequence
고려하다,consider
지속적인,constant
구성하다,construct
소비하다,consume
기여하다,contribute
전환하다,convert
창조하다,create
기준,criteria
자료,data
정의하다,define
도출하다,derive
설계하다,design
세부사항,detail
결정하다,determine
발전시키다,develop
장치,device
분배하다,distribute
경제적,economic
요소,element
강조하다,emphasize
가능하게 하다,enable
에너지,energy
수립하다,establish
평가하다,evaluate
증거,evidence
확장하다,expand
요인,factor
특징,feature
집중하다,focus
기능,function
생성하다,generate
식별하다,identify
영향,impact
나타내다,indicate
개인,individual
해석하다,interpret
포함하다,involve
문제,issue
유지하다,maintain
방법,method
발생하다,occur
선택,option
참여하다,participate
기간,period
과정,process
요구하다,require
응답하다,respond
결과,result
중요한,significant
출처,source
구체적인,specific
구조,structure
이론,theory
다양하다,vary
약화시키다,undermine
강화하다,reinforce
억제하다,suppress
향상시키다,enhance
제한하다,restrict
지지하다,advocate
상징하다,symbolize
보여주다,demonstrate
시행하다,enforce
무시하다,neglect
묘사하다,portray
극복하다,overcome
이루다,attain
조합하다,coordinate
발전하다,evolve
촉진하다,promote
검증하다,validate
축소하다,minimize
확대하다,maximize
제안하다,propose
배제하다,exclude
수정하다,modify
유발하다,trigger
활용하다,utilize
관여하다,engage
지속하다,sustain
강요하다,impose
변경하다,alter
정당화하다,justify
용이하게 하다,facilitate
추론하다,infer
열거하다,enumerate
공식화하다,formulate
연관짓다,correlate
초과하다,exceed
배분하다,allocate
위임하다,delegate
상호작용하다,interact
분열하다,diverge
모방하다,imitate
감지하다,detect
협상하다,negotiate
타협하다,compromise
승인하다,approve
거부하다,reject
수용하다,accommodate
집행하다,execute
조작하다,manipulate
위반하다,violate
개혁하다,reform
가설,hypothesis
추론,inference
결과물,outcome
전제,premise
기반,foundation
틀,framework
패러다임,paradigm
계층,hierarchy
메커니즘,mechanism
현상,phenomenon
역설,paradox
딜레마,dilemma
함의,implication
의미,significance
맥락,context
범주,category
차원,dimension
관점,perspective
패턴,pattern
절차,procedure
상관관계,correlation
원리,principle
충동,impulse
본능,instinct
관습,convention
규범,norm
편견,bias
고정관념,stereotype
이데올로기,ideology
세계관,worldview
인식,perception
직관,intuition
동정,sympathy
통찰,insight
모순,contradiction
양면성,ambiguity
불확실성,uncertainty
취약성,vulnerability
복잡성,complexity
다양성,diversity
일관성,consistency
신뢰성,reliability
타당성,validity
효용성,utility
이중성,duality
공정성,fairness
투명성,transparency
정당성,legitimacy
지속가능성,sustainability
규모,magnitude
빈도,frequency
강도,intensity
밀도,density
비율,ratio
위엄,prestige
위신,credibility
독창성,originality
보편성,universality
특수성,specificity
우연성,contingency
중요한,crucial
근본적인,fundamental
본질적인,essential
잠재적인,potential
포괄적인,comprehensive
일관된,consistent
적절한,relevant
타당한,valid
신뢰할 수 있는,reliable
불가피한,inevitable
상당한,substantial
두드러진,prominent
논리적인,rational
유연한,adaptable
정교한,sophisticated
혁신적인,revolutionary
회의적인,skeptical
지배적인,dominant
현저한,notable
심오한,profound
점진적인,gradual
급격한,dramatic
지속가능한,sustainable
부재한,absent
임시적인,temporary
영구적인,permanent
잠정적인,provisional
결정적인,decisive
광범위한,extensive
극단적인,extreme
상대적인,relative
절대적인,absolute
객관적인,objective
주관적인,subjective
풍부한,abundant
희귀한,rare
부정적인,negative
긍정적인,positive
중립적인,neutral
내재적인,inherent
방법론,methodology
표본,sample
변수,variable
통계,statistics
연구결과,finding
참고문헌,reference
반례,counterexample
검증,verification
반증,refutation
논거,argument
추상화,abstraction
일반화,generalization
귀납,induction
연역,deduction
가정,assumption
증명,proof
논리,logic
오류,fallacy
진술,statement
주장,claim
근거,justification
비교,contrast
종합,synthesis
해석,interpretation
심리,psychology
행동주의,behaviorism
인지,cognition
신경,nerve
집단,group
지층,strata
사회학,sociology
인류학,anthropology
경제학,economics
지리학,geography
역사학,history
언어학,linguistics
교육학,pedagogy
법학,jurisprudence
신학,theology
경영학,management
의료,medical
환경학,environmentalism
행정,governance
인구학,demography
제도,institution
이동성,mobility
지배,domination
착취,exploitation
저항,resistance
해방,liberation
억압,oppression
계급,class
통제,control
규제,regulation
감시,surveillance
강압,coercion
분배,distribution
소득,income
지출,expenditure
세수,revenue
유전학,genetics
천문학,astronomy
지질학,geology
기상학,meteorology
해양학,oceanography
돌연변이,mutation
세포분열,mitosis
핵,nuclear
양자,quantum
상대성,relativity
열역학,thermodynamics
전자기,electromagnetism
나노기술,nanotechnology
유전공학,engineering
블록체인,blockchain
암호화폐,cryptocurrency
가상,virtual
증강,augmented
로봇공학,robotics
자율,autonomous
드론,drone
위성,satellite
우주,universe
