비정상적인,abnormal
폐지하다,abolish
풍부한,abundant
성취하다,accomplish
축적하다,accumulate
정확한,accurate
적응하다,adapt
충분한,adequate
인접한,adjacent
조정하다,adjust
행정,administration
청소년,adolescent
지지하다,advocate
배분하다,allocate
변경하다,alter
대안,alternative
분석하다,analyze
예상하다,anticipate
명백한,apparent
적용하다,apply
접근,approach
적절한,appropriate
근사한,approximate
임의적인,arbitrary
측면,aspect
지정하다,assign
지원하다,assist
가정하다,assume
달성하다,attain
귀속시키다,attribute
유익한,beneficial
상황,circumstance
붕괴하다,collapse
보상하다,compensate
복잡한,complex
구성요소,component
포괄적인,comprehensive
집중하다,concentrate
결론 짓다,conclude
수행하다,conduct
확인하다,confirm
갈등,conflict
상당한,considerable
일관된,consistent
지속적인,constant
구성하다,construct
소비하다,consume
기여하다,contribute
전환하다,convert
기준,criteria
결정적인,crucial
감소하다,decline
정의하다,define
보여주다,demonstrate
도출하다,derive
~에도 불구하고,despite
차원,dimension
구별하다,distinguish
분배하다,distribute
국내의,domestic
제거하다,eliminate
출현하다,emerge
강조,emphasis
가능하게 하다,enable
맞닥뜨리다,encounter
향상시키다,enhance
보장하다,ensure
수립하다,establish
평가하다,evaluate
명백한,evident
확장하다,expand
착취하다,exploit
요인,factor
특징,feature
근본적인,fundamental
생성하다,generate
식별하다,identify
영향,impact
실행하다,implement
나타내다,indicate
개인,individual
해석하다,interpret
포함하다,involve
유지하다,maintain
다수,majority
방법,method
수정하다,modify
얻다,obtain
발생하다,occur
참여하다,participate
인식하다,perceive
기간,period
정책,policy
원리,principle
과정,process
요구하다,require
응답하다,respond
유의미한,significant
구체적인,specific
구조,structure
이론,theory
다양하다,vary
암시하다,imply
추론하다,infer
대조하다,contrast
강화하다,reinforce
방해하다,hinder
약화시키다,undermine
수반하다,entail
용이하게 하다,facilitate
주장하다,assert
부정하다,negate
반증하다,refute
묘사하다,depict
검증하다,verify
우선시하다,prioritize
통합하다,integrate
포함시키다,incorporate
반영하다,reflect
나타내다,manifest
약화시키다,diminish
